symbol,cik,events
RBB,0001499422,36
LNDC,0001005286,36
SSSS,0001509470,36
ONEW,0001772921,36
FSBC,0001275168,36
SUNS,0002012706,36
INBK,0001562463,35
GLPI,0001575965,35
BVSN,0000920448,35
NFBK,0001493225,35
FGBI,0001408534,35
RRGB,0001171759,35
PKBK,0001315399,35
WOW,0001701051,35
RDVT,0001720116,35
SIX,0000701374,35
ATEX,0001304492,35
WIA,0001254370,34
DAL,0000027904,34
IRET,0000798359,34
ISTR,0001602658,34
TTS,0001552800,34
AHH,0001569187,34
NGL,0001504461,34
LGF,0000929351,34
SUP,0000095552,34
UNVR,0001494319,34
FKYS,0000737875,34
DM,0001603286,34
HPP,0001482512,34
ESXB,0001323648,34
ESPR,0001434868,34
RGCO,0001069533,34
ASIX,0001673985,34
SBOW,0000351817,34
MNI,0001056087,34
GPMT,0001703644,34
LILA,0001712184,34
MRBK,0001750735,34
CADE,0001614184,34
RMCF,0001616262,34
VFL,0000895574,34
ERC,0001227073,33
SFST,0001090009,33
HBAN,0000049196,33
SBSI,0000705432,33
TEP,0001569134,33
ORRF,0000826154,33
TREC,0000007039,33
PEBO,0000318300,33
FSTR,0000352825,33
AWF,0000906013,33
THFF,0000714562,33
SMBK,0001038773,33
MSBI,0001466026,33
ECA,0001157806,33
BGIO,0001691433,33
UBFO,0001137547,33
XFLT,0001703079,33
REZI,0001740332,33
NFE,0001749723,33
AMEH,0001083446,33
RANI,0001856725,33
GUG,0001864208,33
NQP,0000870780,33
CRR,0001009672,32
MBTF,0001118237,32
CLFD,0000796505,32
PFS,0001178970,32
CWBC,0001051343,32
IMH,0001000298,32
GTT,0001315255,32
VIRT,0001592386,32
OHI,0000888491,32
AVK,0001219120,32
CIO,0001593222,32
SOR,0000091847,32
HQL,0000884121,32
FLXS,0000037472,32
ATEC,0001350653,32
WEST,0001806347,32
BATRA,0001958140,32
SRBK,0001951276,32
SFBS,0001430723,31
IBTX,0001564618,31
BHB,0000743367,31
WAIR,0001378718,31
TROX,0001530804,31
CLR,0000732834,31
TCRD,0001464963,31
GAIN,0001321741,31
IVAC,0001001902,31
ECC,0001604174,31
TRCB,0001343034,31
BANC,0001169770,31
CECE,0000003197,31
FUNC,0000763907,31
FOLD,0001178879,31
OPOF,0000740971,31
AGO,0001273813,31
INTC,0000050863,31
USQIX,0001691570,31
MBIN,0001629019,31
FNKO,0001704711,31
OCSI,0001577791,31
BCSF,0001655050,31
ATSG,0000894081,31
XAIR,0001641631,31
JUVF,0000714712,31
VTA,0001393662,31
LAZR,0001758057,31
HLF,0001180262,31
ISSC,0000836690,31
DMA,0001523289,31
TPHS,0000724742,30
EBTC,0001018399,30
RNST,0000715072,30
KEY,0000091576,30
FARM,0000034563,30
CNX,0001070412,30
GOGO,0001537054,30
TISI,0000318833,30
BANX,0001578987,30
FLWS,0001084869,30
KRNY,0001617242,30
AVDL,0001012477,30
ENR,0001632790,30
GECC,0001675033,30
WSC,0001647088,30
DLHC,0000785557,30
BFST,0001624322,30
PRGO,0001585364,30
WMPN,0001828376,30
REPX,0001001614,30
MATV,0001000623,30
NXJ,0001087786,30
GMZ,0001579762,29
PMT,0001464423,29
JMBA,0001316898,29
GARS,0001509892,29
HBCP,0001436425,29
NWL,0000814453,29
ATAX,0001059142,29
GOF,0001380936,29
GPX,0000070415,29
ERI,0001590895,29
CNOB,0000712771,29
PACW,0001102112,29
PATI,0001616741,29
IDSY,0000049615,29
SELF,0001031235,29
LGF.B,0000929351,29
ARNC,0000004281,29
CNNE,0001704720,29
RMI,0001746967,29
RAND,0000081955,29
SNSE,0001829802,29
ACDC,0001881487,29
ADX,0000002230,28
BZH,0000915840,28
CPSS,0000889609,28
GLO,0001350869,28
FMBH,0000700565,28
HBMD,0001390162,28
NLY,0001043219,28
CCBG,0000726601,28
RESI,0001555039,28
PAGP,0001581990,28
MB,0001458962,28
UFCS,0000101199,28
HOMB,0001331520,28
CAC,0000750686,28
IBCP,0000039311,28
SNV,0000018349,28
KINS,0000033992,28
CHCT,0001631569,28
SHBI,0001035092,28
IMMR,0001058811,28
JOE,0000745308,28
SIC,0001723866,28
COFS,0000803164,28
OEC,0001609804,28
FSFR,0001577791,27
NFJ,0001260563,27
TIME,0001591517,27
GLAD,0001143513,27
IVR,0001437071,27
CCRN,0001141103,27
TDW,0000098222,27
NEOG,0000711377,27
AVID,0000896841,27
GRBK,0001373670,27
PAH,0001590714,27
BSET,0000010329,27
CSU,0001043000,27
OLN,0000074303,27
ARR,0001428205,27
TPB,0001290677,27
LMB,0001606163,27
CRBP,0001595097,27
JANL,0001133062,27
VERI,0001615165,27
FUSB,0000717806,27
LCNB,0001074902,27
GTES,0001718512,27
TCDA,0001595585,27
LCRDX,0001753712,27
DCTH,0000872912,27
SHEN,0000354963,27
REFLX,0001896329,27
FG,0001934850,27
ZEUS,0000917470,26
CONN,0001223389,26
STKL,0000351834,26
STL,0001070154,26
ABCB,0000351569,26
CLMT,0001340122,26
DHG,0001375387,26
TRS,0000842633,26
MSBF,0001635261,26
AVD,0000005981,26
FLXN,0001419600,26
IESC,0001048268,26
ALDX,0001341235,26
FTF,0001233087,26
BPFH,0000821127,26
SBPH,0001566373,26
TEAF,0001704299,26
FORA,0001829280,26
THRY,0001556739,26
DNUT,0001857154,26
NMAI,0001861115,26
OCIP,0001578932,25
TWO,0001465740,25
XRM,0001287151,25
CLDB,0000774569,25
REGI,0001463258,25
DOC,0001574540,25
JRO,0001289213,25
BRKL,0001049782,25
NSA,0001618563,25
HTLF,0000920112,25
WSR,0001175535,25
NEWM,0001579684,25
KEF,0000912023,25
RCII,0000933036,25
HUN,0001307954,25
NBTB,0000790359,25
CC,0001627223,25
MTW,0000061986,25
FCBP,0001716697,25
EOLS,0001570562,25
CFBK,0001070680,25
SPLP,0001452857,25
MNSB,0001693577,25
PBBK,0001849670,25
SNDA,0001043000,25
FNWD,0000919864,25
NBBK,0001979330,25
ALCO,0000003545,24
LMNR,0001342423,24
PN,0001619917,24
VIVO,0000794172,24
FCF,0000712537,24
UBSI,0000729986,24
FFWM,0001413837,24
SBCP,0001599891,24
FIBK,0000860413,24
CRC,0001609253,24
KOP,0001315257,24
S,0000101830,24
MCI,0000275694,24
APTS,0001481832,24
HBI,0001359841,24
DDD,0000910638,24
VEC,0001601548,24
KW,0001408100,24
F,0000037996,24
BID,0000823094,24
KTOS,0001069258,24
SM,0000893538,24
APPF,0001433195,24
GPP,0001635650,24
LPG,0001596993,24
DNP,0000806628,24
SEE,0001012100,24
FCPT,0001650132,24
JAX,0001617227,24
BW,0001630805,24
HWCC,0001356949,24
AC,0001642122,24
CSTR,0001676479,24
BSRR,0001130144,24
LIVE,0001045742,24
CSFL,0001102266,24
BBW,0001113809,24
COLB,0000887343,24
PLAY,0001525769,24
RC,0001527590,24
HI,0001417398,24
EVF,0001070732,24
UTZ,0001739566,24
CMPO,0001823144,24
MICS,0000923601,24
STBA,0000719220,23
DNBF,0000713671,23
PPR,0000826020,23
PMBC,0001109546,23
PDM,0001042776,23
GHL,0001282977,23
UBCP,0000731653,23
BRX,0001581068,23
EIG,0001379041,23
LARK,0001141688,23
MPAA,0000918251,23
ANCX,0001176316,23
VBFC,0001290476,23
ESNT,0001448893,23
GLDD,0001372020,23
LJPC,0000920465,23
FTAI,0001590364,23
AMNB,0000741516,23
EVA,0001592057,23
ARL,0001102238,23
WLDN,0001370450,23
LC,0001409970,23
STOR,0001538990,23
OCUL,0001393434,23
EMYB,0001449794,23
LNG,0000003570,23
FOR,0001406587,23
CVNA,0001690820,23
CDLX,0001666071,23
RBNC,0001606440,23
RCUS,0001724521,23
OCFC,0001004702,23
TGE,0001633651,23
MTEM,0001183765,23
LEVL,0001412707,23
IGR,0001268884,23
WTRE,0001601669,23
MEC,0001766368,23
GO,0001771515,23
KSM,0000846596,23
MDIA,0001784254,23
HROW,0001360214,23
HIE,0001519505,23
NHF,0001356115,23
TCBX,0001781730,23
EHAB,0001803737,23
BAS,0001109189,22
GPRE,0001309402,22
FGP,0000922358,22
X,0001163302,22
WD,0001497770,22
TYG,0001268533,22
QCRH,0000906465,22
SHOS,0001548309,22
ODC,0000074046,22
KHI,0000830160,22
FSD,0001494530,22
MG,0001436126,22
DSPG,0000915778,22
FCAP,0001070296,22
AES,0000874761,22
CTO,0000023795,22
CNSL,0001304421,22
GMS,0001600438,22
WMB,0000107263,22
CUBA,0000880406,22
PCSB,0001691337,22
AE,0000002178,22
DEX,0001396167,22
GAIA,0001089872,22
STXB,0001499453,22
FAT,0001705012,22
FROPX,0001732078,22
OXY,0000797468,22
HEAR,0001493761,22
AHCO,0001725255,22
BHVN,0001935979,22
JMSB,0001710482,22
SLND,0001883814,22
VTN,0000883265,22
VPV,0000895528,22
SLCA,0001524741,21
KODK,0000031235,21
MRTX,0001576263,21
RAIL,0001320854,21
CUTR,0001162461,21
CAKE,0000887596,21
VNOM,0001602065,21
RAVN,0000082166,21
GLV,0001288795,21
CLDT,0001476045,21
ALEX,0001545654,21
SGA,0000886136,21
TACO,0001585583,21
HIX,0001058239,21
VTVT,0001641489,21
BYBK,0000859222,21
CNFR,0001502292,21
ACRS,0001557746,21
NNBR,0000918541,21
PRTY,0001592058,21
CEQP,0001136352,21
LCI,0000057725,21
MVBF,0001277902,21
OPNT,0001385508,21
MX,0001325702,21
AYX,0001689923,21
BXC,0001301787,21
SMPL,0001702744,21
UEPS,0001041514,21
PRVB,0001695357,21
FSLF,0001583001,21
REYN,0001786431,21
SAII,0001816048,21
MOND,0001828852,21
PVBC,0001778784,21
RXO,0001929561,21
CKX,0000352955,20
ONB,0000707179,20
SBBX,0001028954,20
T,0000732717,20
MDU,0000067716,20
NMIH,0001547903,20
FNLC,0000765207,20
NTG,0001490286,20
FCCO,0000932781,20
GFF,0000050725,20
ASUR,0000884144,20
USAK,0000883945,20
ASB,0000007789,20
CPF,0000701347,20
ISD,0001534880,20
FFIC,0000923139,20
HZN,0001637655,20
